weekly,PP,IN,AG,TR,AR,BL,CE,CO,IS,NH,PT,SI,VO,VP,VU,CPMO,CPMI,AL,YL,GL,BK,HS,LM,RM
0,0.144687773,0.157483836,0.142857143,0.155,0.142857143,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836,0.157483836
1,0.144313397,0.14536361,0.142857143,0.155,0.142857143,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361,0.14536361
2,0.142832772,0.137111205,0.142857143,0.155,0.142857143,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205,0.137111205
3,0.144129415,0.12950596,0.142857143,0.155,0.142857143,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596,0.12950596
4,0.143494079,0.141311456,0.142857143,0.155,0.142857143,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456,0.141311456
5,0.137861837,0.143135647,0.142857143,0.117,0.142857143,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647,0.143135647
6,0.142680727,0.146088286,0.142857143,0.108,0.142857143,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286,0.146088286
