,ID,rownum,colnum,LON,LAT,VOCs,NOx,PM
683,1418.0,23.0,15.0,115.85018788561932,40.02241315764318,1.494159499241966,0.44784402288090286,0.8711122949248528
684,1419.0,23.0,16.0,115.88512017914036,40.0184624969105,1.7606532013675327,0.5277201081936741,1.0264812100636966
685,1420.0,23.0,17.0,115.92004863483535,40.01450188580793,0.06418845375660452,0.01923918789623633,0.037422612035703795
686,1421.0,23.0,18.0,115.95497324369752,40.0105313259043,0.5523346503127029,0.16555111545859125,0.32201749883095804
687,1422.0,23.0,19.0,115.9898939967263,40.00655081877241,0.09140932934119608,0.027398093578212556,0.053292697801237875
688,1423.0,23.0,20.0,116.0248108849274,40.00256036598872,0.6067388352380674,0.18185766710243692,0.3537357688067496
689,1424.0,23.0,21.0,116.0597238993128,39.998559969133645,6.317369926798033,1.8935035807618972,3.68309984149229
690,1425.0,23.0,22.0,116.0946330309007,39.99454962979138,7.2921681499531,2.1856795887291858,4.251418496690803
691,1426.0,23.0,23.0,116.1295382707156,39.990529349550044,0.281920702789807,0.08450001605240431,0.16436303521722342
692,1427.0,23.0,24.0,116.1644396097883,39.98649913000146,0.20220043786620504,0.060605482592870644,0.11788519736601143
693,1428.0,23.0,25.0,116.19933703915594,39.98245897274138,63.69789380037047,19.09215249313807,37.136609899057696
694,1429.0,23.0,26.0,116.23423054986188,39.97840887936935,48.79782056570838,14.62615756955962,28.449694615528824
695,1430.0,23.0,27.0,116.26912013295588,39.97434885148871,102.95614793638715,30.859018394987398,60.024626789167804
696,1431.0,23.0,28.0,116.30400577949403,39.97027889070672,208.95510444507562,62.63005698096997,121.82324622087421
697,1432.0,23.0,29.0,116.3388874805388,39.96619899863434,232.02652492957546,69.54524760727004,135.2741515998683
698,1433.0,23.0,30.0,116.37376522715896,39.96210917688647,249.24292830821275,74.705515538867,145.3115141874136
699,1434.0,23.0,31.0,116.4086390104297,39.95800942708178,293.23997179724654,87.89273749274227,170.96230015978466
700,1435.0,23.0,32.0,116.4435088214326,39.95389975084276,324.00729168840525,97.1146179682274,188.90000403455286
701,1436.0,23.0,33.0,116.47837465125566,39.949780149795735,151.1803091515995,45.313233202465895,88.13987135865452
702,1437.0,23.0,34.0,116.51323649099324,39.94565062557081,62.427365744049226,18.711337462202863,36.395877325681205
703,1438.0,23.0,35.0,116.54809433174616,39.94151117980195,33.80666941916062,10.132863888067332,19.709679854414105
704,1439.0,23.0,36.0,116.5829481646217,39.93736181412692,38.63187558668861,11.579121628550721,22.52283094050185
705,1440.0,23.0,37.0,116.61779798073354,39.933202530187344,31.936065512354322,9.572188284648904,18.619096109519315
706,1441.0,23.0,38.0,116.65264377120192,39.92903332962855,24.933519338951815,7.473317012675016,14.536530579852217
707,1442.0,23.0,39.0,116.68748552715336,39.92485421409977,23.658574397040443,7.091178109815636,13.793222911015858
708,1443.0,23.0,40.0,116.72232323972112,39.920665185254,40.82667966510294,12.236969661783553,23.80242714065847
709,1444.0,23.0,41.0,116.75715690004478,39.91646624474812,2.569667606150023,0.770205777086588,1.49814597887511
710,1471.0,24.0,7.0,115.57564503933403,40.08042299926775,0.01947063176277771,0.005835927195924454,0.011351603846252643
711,1472.0,24.0,8.0,115.6106204441492,40.07655063851098,0.023363194869512136,0.00700264408386188,0.013621013225082364
712,1473.0,24.0,9.0,115.64559207924106,40.0726683114982,0.0077869558087567715,0.002333982159976016,0.004539885432904527
713,1474.0,24.0,10.0,115.68055993554398,40.06877601976824,0.05061403849007113,0.015170532077159158,0.029508570702705558
714,1475.0,24.0,11.0,115.71552400399857,40.06487376486379,1.331550280774768,0.39910520577816694,0.7763092370540152
715,1476.0,24.0,12.0,115.75048427555146,40.06096154833138,0.12067927076243423,0.03617116520960529,0.07035741268389023
716,1477.0,24.0,13.0,115.78544074115558,40.05703937172137,0.41844760587076335,0.12542118781369638,0.24395980110612073
717,1478.0,24.0,14.0,115.82039339176994,40.053107236588026,0.18487829565310862,0.055413521588999315,0.10778618781320233
718,1479.0,24.0,15.0,115.85534221835978,40.04916514448938,0.2062801703499549,0.0618282997075946,0.12026372865962624
719,1480.0,24.0,16.0,115.89028721189656,40.04521309698741,0.412498330941685,0.12363801324711585,0.2404913049119476
720,1481.0,24.0,17.0,115.92522836335792,40.04125109564779,0.015566288815269997,0.004665679539495791,0.009075326683806059
721,1482.0,24.0,18.0,115.96016566372776,40.0372791420402,0.013620087529611986,0.004082345154145862,0.007940668791395405
722,1483.0,24.0,19.0,115.99509910399615,40.03329723773808,0.04474654165090001,0.013411868835364356,0.02608775208218495
723,1484.0,24.0,20.0,116.03002867515958,40.02930538431869,0.06420112096841718,0.019242984636209364,0.03742999716691504
724,1485.0,24.0,21.0,116.0649543682206,40.025303583363176,0.16339136859977063,0.04897325075057991,0.09525906045778135
725,1486.0,24.0,22.0,116.09987617418818,40.02129183645646,4.590535349977237,1.375919919763448,2.6763352812608607
726,1487.0,24.0,23.0,116.13479408407755,40.01727014518741,1.5404029588697665,0.46170456253691117,0.8980727675263891
727,1488.0,24.0,24.0,116.16970808891018,40.01323851114861,0.02139612456198786,0.006413054632228254,0.012474188451197557
728,1489.0,24.0,25.0,116.20461817971396,40.00919693593649,28.88463606611179,8.657584161437288,16.840077397617293
729,1490.0,24.0,26.0,116.239524347523,40.00514542115144,87.68755948908577,26.282568506323273,51.12286286815425
730,1491.0,24.0,27.0,116.27442658337786,40.00108396839752,113.19625446535673,33.92828275731909,65.99472750682959
731,1492.0,24.0,28.0,116.30932487832536,39.99701257928269,174.50441482102613,52.30416109095081,101.7380951273164
732,1493.0,24.0,29.0,116.34421922341872,39.99293125541876,214.09574762409355,64.17086057165398,124.82030073837112
733,1494.0,24.0,30.0,116.3791096097176,39.98883999842128,178.95701433979013,53.63873754130467,104.3340122212676
734,1495.0,24.0,31.0,116.41399602828794,39.98473880990976,172.51085877787202,51.70663307693516,100.5758288627748
735,1496.0,24.0,32.0,116.44887847020212,39.98062769150739,217.03838233615963,65.05285567859488,126.53589086007764
736,1497.0,24.0,33.0,116.48375692653902,39.97650664484126,135.4688688173883,40.60404743742802,78.97991965801404
737,1498.0,24.0,34.0,116.51863138838378,39.9723756715423,46.56880427688282,13.958055119746765,27.150152300422032
738,1499.0,24.0,35.0,116.55350184682813,39.96823477324521,74.64391874867269,22.373001592507578,43.51826923185166
