,ID,rownum,colnum,LON,LAT,VOCs,NOx,PM
1081,2107.0,34.0,33.0,116.53780010678696,40.24372796499344,34.12243132389751,81.27654496244932,1.144558940135758
1082,2108.0,34.0,34.0,116.57280128117718,40.239582493589786,12.630434937034707,30.084553568615334,0.4236590613301844
1083,2109.0,34.0,35.0,116.60779840765248,40.2354270626313,7.22021102014483,17.197889565571103,0.24218547014807407
1084,2110.0,34.0,36.0,116.64279147721896,40.231261673764166,16.64420085622301,39.64498093391812,0.5582916618858722
1085,2111.0,34.0,37.0,116.67778048088933,40.22708632863844,22.548695015084707,53.70895194547815,0.7563444182195498
1086,2112.0,34.0,38.0,116.71276540968286,40.22290102890797,28.557387364369514,68.02111362166407,0.9578922646088769
1087,2113.0,34.0,39.0,116.7477462546254,40.218705776230486,26.452997308908238,63.0086468563945,0.8873053117435301
1088,2114.0,34.0,40.0,116.78272300674944,40.21450057226753,20.805678193705027,49.55724353676474,0.6978789042360858
1089,2115.0,34.0,41.0,116.81769565709412,40.21028541868448,13.820810014321006,32.91991933059376,0.46358747158589303
1090,2116.0,34.0,42.0,116.8526641967052,40.20606031715048,11.14333578025583,26.542417888649563,0.37377772026737516
1091,2117.0,34.0,43.0,116.8876286166351,40.20182526933856,13.137231477012351,31.29169708594902,0.4406583925078264
1092,2118.0,34.0,44.0,116.92258890794292,40.19758027692554,13.318992571787124,31.724635573000487,0.44675515284763345
1093,2119.0,34.0,45.0,116.95754506169438,40.19332534159209,18.570460219716455,44.23315650324422,0.6229036279729011
1094,2120.0,34.0,46.0,116.99249706896194,40.18906046502271,22.84213144348527,54.407890975939786,0.7661870722877596
1095,2121.0,34.0,47.0,117.0274449208248,40.18478564890565,24.99637942610731,59.53911481394405,0.8384463953229461
1096,2122.0,34.0,48.0,117.06238860836876,40.18050089493304,26.308683071549954,62.66490339655617,0.88246462061606
1097,2123.0,34.0,49.0,117.09732812268643,40.176206204800806,47.33535441413634,112.74853262462626,1.587756234745528
1098,2124.0,34.0,50.0,117.13226345487722,40.1719015802087,41.459655066373195,98.75314824854719,1.3906693345127692
1099,2125.0,34.0,51.0,117.16719459604712,40.16758702286022,31.260733937452223,74.46024063493645,1.04856984438439
1100,2126.0,34.0,52.0,117.202121537309,40.1632625344628,31.429286238877037,74.86171697099356,1.0542235459522826
1101,2127.0,34.0,53.0,117.23704426978246,40.15892811672756,35.68730351725539,85.00392898079927,1.1970489998878378
1102,2128.0,34.0,54.0,117.27196278459392,40.154583771369495,32.893700572101736,78.34981945314685,1.1033439764762767
1103,2129.0,34.0,55.0,117.3068770728766,40.1502295001074,8.759707331221344,20.86483052763275,0.2938243539492587
1104,2130.0,34.0,56.0,117.34178712577044,40.14586530466386,2.6105957142604654,6.218202857082717,0.08756646428486735
1105,2148.0,35.0,13.0,115.84211158364774,40.35128930033305,15.032615640454853,35.80633072148542,0.5042347206031967
1106,2149.0,35.0,14.0,115.8772046259786,40.34734197857343,9.882286762581753,23.538713193285176,0.3314787142725286
1107,2150.0,35.0,15.0,115.91229379733598,40.343384661669575,22.207127894896836,52.895369960709054,0.7448873301428965
1108,2151.0,35.0,16.0,115.94737908858752,40.33941735119152,12.979357621125857,30.915655841274653,0.43536287497997533
1109,2152.0,35.0,17.0,115.9824604906071,40.33544004871312,36.3810936690998,86.65647436760453,1.2203206042273425
1110,2153.0,35.0,18.0,116.01753799427502,40.33145275581205,5.935815456206509,14.138575508753192,0.19910335763908765
1111,2154.0,35.0,19.0,116.05261159047794,40.32745547406994,2.6701592865737416,6.360077898673133,0.08956438813004886
1112,2155.0,35.0,20.0,116.08768127010887,40.32344820507223,0.560284211114107,1.3345463118999332,0.018793452809983235
1113,2156.0,35.0,21.0,116.12274702406728,40.31943095040818,0.0912961874888008,0.21745926065171647,0.0030623218667725897
1114,2157.0,35.0,22.0,116.15780884325898,40.31540371167097,0.6680671034505732,1.5912754122390536,0.022408783495138578
